Date,R_YEA,R_NAY,D_YEA,D_NAY,I_YEA,I_NAY
"1990-05-24T10:00:00.000Z",41,3,11,43,0,0
"1990-05-24T11:03:00.000Z",30,14,8,45,0,0
"1990-05-24T02:16:00.000Z",38,6,20,32,0,0
"1990-06-05T02:30:00.000Z",10,31,44,6,0,0
"1990-06-06T01:47:00.000Z",7,35,33,18,0,0
"1990-06-06T06:44:00.000Z",37,6,6,44,0,0
"1990-06-07T10:31:00.000Z",11,30,46,7,0,0
"1990-06-12T09:11:00.000Z",42,1,55,0,0,0
"1990-06-12T06:01:00.000Z",6,39,50,5,0,0
"1990-06-12T06:22:00.000Z",10,35,54,1,0,0
"1990-06-13T02:01:00.000Z",44,0,55,0,0,0
"1990-06-19T12:02:00.000Z",41,2,55,0,0,0
"1990-06-19T06:19:00.000Z",45,0,55,0,0,0
"1990-06-20T11:25:00.000Z",34,11,55,0,0,0
"1990-06-20T03:21:00.000Z",8,36,53,2,0,0
"1990-06-21T11:32:00.000Z",10,35,55,0,0,0
"1990-06-21T02:18:00.000Z",12,33,47,6,0,0
"1990-06-21T04:44:00.000Z",1,43,51,2,0,0
"1990-06-22T09:37:00.000Z",27,13,49,2,0,0
"1990-06-26T03:05:00.000Z",41,3,10,45,0,0
"1990-06-26T04:17:00.000Z",10,35,0,55,0,0
"1990-06-26T06:09:00.000Z",1,44,6,49,0,0
"1990-06-26T06:58:00.000Z",38,7,20,35,0,0
"1990-06-27T04:24:00.000Z",21,23,42,12,0,0
"1990-06-27T07:12:00.000Z",31,13,24,30,0,0
"1990-06-27T06:22:00.000Z",42,2,0,52,0,0
"1990-06-27T08:29:00.000Z",43,1,53,0,0,0
"1990-06-28T04:35:00.000Z",8,36,42,12,0,0
"1990-06-28T05:05:00.000Z",40,4,47,8,0,0
"1990-06-28T07:05:00.000Z",43,1,36,19,0,0
"1990-06-28T08:08:00.000Z",30,14,7,48,0,0
"1990-06-28T08:47:00.000Z",6,38,45,9,0,0
"1990-06-28T09:54:00.000Z",38,6,6,49,0,0
"1990-06-28T10:38:00.000Z",15,29,49,6,0,0
"1990-06-28T11:15:00.000Z",38,6,28,26,0,0
"1990-06-28T11:29:00.000Z",29,15,14,40,0,0
"1990-06-28T11:42:00.000Z",42,2,54,0,0,0
"1990-06-29T12:17:00.000Z",5,39,20,34,0,0
"1990-07-10T07:45:00.000Z",14,28,4,46,0,0
"1990-07-10T08:36:00.000Z",21,20,42,6,0,0
"1990-07-11T12:31:00.000Z",44,1,55,0,0,0
"1990-07-11T12:52:00.000Z",41,4,53,2,0,0
"1990-07-11T05:41:00.000Z",27,18,12,43,0,0
